Year,Approving State Agency,Training Agency Site Name,Operational Status,Certificate Type,Methodology,Language,Number of Training Classes,Enrolled Student Count,Approved Student Count,Certified Student Count,Withdrawn Student Count,Street Address,City,State,Zip Code,County Name,County Code,Region
2019,Education Department - EMSC,Utica ACCESS Training Center,OPEN,Home Health Aide,Core Training,English,0,0,10,10,0,508 Second Street,Utica,NY,13501,Oneida,65,Central New York                                                                                                                                                                                                                                                                                                                                   
2019,Department of Health,"Personal Touch Home Care, Inc.",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,2,8,8,8,0,640 Montauk Highway,Shirley,NY,11967,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                         
2019,Department of Health,"BESTCARE, INC BRONX",OPEN,Home Health Aide,Personal Care Aide Upgrade,English,3,32,18,18,5,4119 WHITE PLAINS ROAD,BRONX,NY,10466,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                              
2019,Department of Health,Aftercare Nursing Services,OPEN,Personal Care Aide,Basic Training,English,6,93,76,76,17,1680 Walden Ave,Cheektowaga,NY,14225,Erie,29,Western  - Buffalo                                                                                                                                                                                                                                                                                                                                   
2019,Department of Health,"Finger Lakes Home Care, Inc.",OPEN,Home Health Aide,Core Training,English,1,3,3,3,0,756 Pre-Emption Road,Geneva,NY,14456,Ontario,69,Western  - Rochester                                                                                                                                                                                                                                                                                                                                 
2019,Department of Health,"Any-Time Home Care, Inc. - Hudson",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,5,8,6,6,2,"160 Fairview Avenue,Suite 913",Hudson,NY,12534,Columbia,21,Capital District                                                                                                                                                                                                                                                                                           
2019,Department of Health,Litson Healthcare Inc DBA WILLCARE,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,2,9,11,11,1,4 Commerce Street,Poughkeepsie,NY,12603,Dutchess,27,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                 
2019,Department of Health,HILLTOP LICENSED HOME HEALTH AGENCY,OPEN,Home Health Aide,Core Training,English,1,5,5,5,0,286 DEYO HILL ROAD,JOHNSON CITY,NY,13790,Broome,7,Central New York                                                                                                                                                                                                                                                                                                                              
2019,Department of Health,North Country Home Services - Saranac Lake,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,0,0,1,25 Church Street,Saranac Lake,NY,12983,Franklin,33,Capital District                                                                                                                                                                                                                                                                                             
2019,Department of Health,"ACCENT HEALTH CARE SERVICE, INC TROY",OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,1,1,0,"505 4TH AVE,LANSINGBURGH BOYS & GIRLS CLUB",TROY,NY,12182,Rensselaer,83,Capital District                                                                                                                                                                                                                                                                                            
2019,Department of Health,VIP HEALTH CARE SERVICES UNIONDALE,OPEN,Home Health Aide,Competency Evaluation,English,5,7,7,7,0,492 JERUSALEM AVENUE,UNIONDALE,NY,11553,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                                       
2019,Department of Health,The Terrace at Woodland,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,2,6,6,6,0,8299 Turin Road,Rome,NY,13440,Oneida,65,Central New York                                                                                                                                                                                                                                                                                                                           
2019,Department of Health,Rely Health Care,OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,1,1,0,1756 Union Street,Schenectady,NY,12309,Schenectady,93,Capital District                                                                                                                                                                                                                                                                                                                                     
2019,Department of Health,"Presbyterian Residential Community, Inc.",OPEN,Personal Care Aide,Basic Training,English,7,8,8,8,0,4300 Middle Settlement Road,New Hartford,NY,13413,Oneida,65,Central New York                                                                                                                                                                                                                                                                                                          
2019,Education Department - BPSS,"INTERACT HOME CARE TRAINING INSTITUTE, INC.",OPEN,Home Health Aide,Core Training,Spanish; Castilian,3,42,31,31,8,545 EIGHTH AVE,NEW YORK,NY,10018,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                  
2019,Department of Health,Westchester Family Care HHA Training,OPEN,Home Health Aide,Nurse Aide Transition,English,3,16,15,15,1,"200 Katonah Avenue,3rd Floor",Katonah,NY,10536,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                   
2019,Department of Health,Home Helpers & Direct Link of Amsterdam,OPEN,Personal Care Aide,Basic Training,English,3,7,5,5,2,58 North Pawling Street,Hagaman,NY,12010,Montgomery,57,Capital District                                                                                                                                                                                                                                                                                                                  
2019,Department of Health,"U.S. Care Systems, Inc. -  Utica",OPEN,Personal Care Aide,Basic Training,English,3,19,18,18,1,2614 Genesee Street,Utica,NY,13502,Oneida,65,Central New York                                                                                                                                                                                                                                                                                                                              
2019,Education Department - BPSS,ABC Training Center,OPEN,Home Health Aide,Core Training,Spanish; Castilian,7,164,207,207,1,50 East Fordham Road,Bronx,NY,10468,Bronx,5,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                          
2019,Department of Health,Self-Direct Inc.,OPEN,Personal Care Aide,Basic Training,English,3,22,9,9,3,615 W. Genesee St.,Syracuse,NY,13204,Onondaga,67,Central New York                                                                                                                                                                                                                                                                                                                                              
2019,Department of Health,PRALID Home Services,OPEN,Personal Care Aide,Basic Training,English,1,5,5,5,0,2 Townline Circle,Rochester,NY,14623,Monroe,55,Western  - Rochester                                                                                                                                                                                                                                                                                                                                         
2019,Department of Health,PARTNERS IN CARE ,OPEN,Home Health Aide,Core Training,Spanish; Castilian,4,62,54,54,4,220 East 42nd Street,New York,NY,10017,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                               
2019,Department of Health,ABLE HEALTH CARE SERVICES INC ISLANDIA,OPEN,Home Health Aide,Nurse Aide Transition,English,1,1,1,1,0,1747-16 VETERANS MEMORIAL HIGHWAY,ISLANDIA,NY,11749,Suffolk,103,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                     
2019,Department of Health,PEOPLE CARE INC.-NEW YORK,OPEN,Home Health Aide,Core Training,Spanish; Castilian,2,35,15,15,9,"413 EAST 120TH ST,ROOM 410",NEW YORK,NY,10035,New York,61,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                               
2019,Department of Health,Right at Home North Shore,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,1,1,1,1,0,14 Holman Boulevard,Hicksville,NY,11801,Nassau,59,Metropolitan Area  - Long Island                                                                                                                                                                                                                                                                                               
2019,Department of Health,"New Vision Services, Inc.",OPEN,Personal Care Aide,Alternative Competency Demonstration,English,6,6,8,8,0,92 Fairmount Ave,Jamestown,NY,14701,Chautauqua,13,Western  - Buffalo                                                                                                                                                                                                                                                                                                           
2019,Department of Health,Caregivers - Utica,OPEN,Personal Care Aide,Alternative Competency Demonstration,English,4,5,5,5,0,1900 Genesee Street,Utica,NY,13502,Oneida,65,Central New York                                                                                                                                                                                                                                                                                                                           
2019,Education Department - BPSS,Kareful and Karefree Training School,OPEN,Home Health Aide,Core Training,Spanish; Castilian,3,26,31,31,0,2440 Fulton Street,Brooklyn,NY,11233,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                          
2019,Department of Health,HEART TO HEART HOME CARE,OPEN,Personal Care Aide,Basic Training,English,4,78,68,68,10,395 PEARL ST,BROOKLYN,NY,11201,Kings,47,Metropolitan Area  - New York City                                                                                                                                                                                                                                                                                                                          
2019,Department of Health,"Best Care, Inc. - Yonkers",OPEN,Personal Care Aide,Basic Training,English,1,8,7,7,1,35 E. Grassy Sprain Road,Yonkers,NY,10710,Westchester,119,Metropolitan Area  - New Rochelle                                                                                                                                                                                                                                                                                                          
