Measurement Year,Measurement Period,Program Type,Plan Name,Plan ID,CG Area,CG Domain,Domain Rating,Measure Name,Measure Category,Measure Type,Region,Critical Value,Average of Critical Values,Domain Score,Average of Domain Scores,Standard Deviation of Domain Scores,Total Stars,Average of Total Stars,Standard Deviation of Total Stars,Member Services Phone Numbers,Web Sites
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Overall,Overall,3,Overall,Overall,Overall,Long Island,,,,,,,,,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Advance Directives,3,Talked About Appointing for Health Decisions,Quality,Prevalence,Long Island,1.69,1.69,-0.07,0.23,1,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Patient Safety,3,No falls with Injury,Quality,Prevalence,Long Island,3.29,3.29,-1.52,-0.56,3.79,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Dental Exam,Quality,Prevalence,Long Island,3.29,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Eye Exam,Quality,Prevalence,Long Island,3.29,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Influenza Vaccination,Quality,Prevalence,Long Island,3.29,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Hearing Exam,Quality,Prevalence,Long Island,3.29,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Mammogram,Quality,Prevalence,Long Island,3.25,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Preventive Care,Prevention,3,Pneumococcal Vaccination,Quality,Prevalence,Long Island,3.29,3.29,-2.66,-1.03,4.31,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Quality of Life,Quality of Life,2,Not Lonely or Not Distressed,Quality,Prevalence,Long Island,3.29,2.49,-3.47,-0.51,3.27,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Quality of Life,Quality of Life,2,Involved in Decisions,Satisfaction,Prevalence,Long Island,1.69,2.49,-3.47,-0.51,3.27,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Satisfaction with Care,Rating of Care Manager,3,Rating of Care Manager,Satisfaction,Prevalence,Long Island,1.69,1.69,0.13,0.01,1,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Satisfaction with Care,Rating of Health Plan,2,Rating of Health Plan,Satisfaction,Prevalence,Long Island,1.69,1.69,-1.24,-0.04,1,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Satisfaction with Care,Rating of Regular Visiting Nurse,3,Rating of Regular Visiting Nurse,Satisfaction,Prevalence,Long Island,1.69,1.69,-0.19,-0.05,1,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
2018,2018 January - June,PARTIAL,Aetna Better Health,3458546,Satisfaction with Care,Timeliness of Aide,3,Timeliness of Home Health Aide,Satisfaction,Prevalence,Long Island,1.69,1.69,0.26,-0.1,1,35,36,5.26,1-855-456-9126,www.aetnabetterhealth.com
