Measurement Year,Facility Name,Facility ID,Facility OPCERT,Facility Medicare Number,Measure Short Name,Measure Full Name,Measure ID Number,First Quintile,Second Quintile,Third Quintile,Fourth Quintile,Fifth Quintile,Numeric Value,Character Value,Quintile,Points,Comments,City,County,Region,Current Facility Name,Location
2017,Elderwood at Lockport,571,3101308,335500,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,59,,Lockport,Niagara,WRO,Elderwood at Lockport,"(43.1868, -78.6702)"
2017,The Grand Rehabilitation and Nursing at Chittenango,403,2629303,335588,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,40,,Chittenango,Madison,CNYRO,The Grand Rehabilitation and Nursing at Chittenango,"(43.0493, -75.8696)"
2017,Wesley Gardens Corporation,449,2701352,335488,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,34,,Rochester,Monroe,WRO,Wesley Gardens Corporation,"(43.1542, -77.5865)"
2017,Elderwood at Ticonderoga,310,1527301,335482,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,62,,Ticonderoga,Essex,CDRO,Elderwood at Ticonderoga,"(43.8495, -73.4356)"
2017,Alice Hyde Medical Center,326,1624000,335127,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,55,,Malone,Franklin,CDRO,Alice Hyde Medical Center,"(44.8573, -74.2908)"
2017,Livingston County Center for Nursing and Rehabilitation,390,2522300,335562,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,35,,Mt Morris,Livingston,WRO,Livingston County Center for Nursing and Rehabilitation,"(42.7292, -77.8808)"
2017,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC",56,302303,335371,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,31,,Endicott,Broome,CNYRO,"Absolut Center for Nursing and Rehabilitation at Endicott, LLC","(42.1125, -76.0568)"
2017,Lutheran Retirement Home,107,602308,335268,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,73,,Jamestown,Chautauqua,WRO,Lutheran Retirement Home,"(42.1142, -79.2098)"
2017,Fiddlers Green Manor Rehabilitation and Nursing Center,282,1427303,335457,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,48,,Springville,Erie,WRO,Fiddlers Green Manor Rehabilitation and Nursing Center,"(42.5088, -78.6735)"
2017,Chautauqua Nursing and Rehabilitation Center,99,601304,335485,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,54,,Dunkirk,Chautauqua,WRO,Chautauqua Nursing and Rehabilitation Center,"(42.4744, -79.363)"
2017,Brooklyn-Queens Nursing Home,277,7001382,335637,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,42,,Brooklyn,Kings,MARO,Brooklyn-Queens Nursing Home,"(40.6697, -73.8628)"
2017,Good Shepherd-Fairview Home Inc,49,301305,335527,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,53.3,,Binghamton,Broome,CNYRO,Good Shepherd-Fairview Home Inc,"(42.1109, -75.8767)"
2017,Wells Nursing Home Inc,335,1702300,335314,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,46,,Johnstown,Fulton,CDRO,Wells Nursing Home Inc,"(43.001, -74.3757)"
2017,Jennie B Richmond Chaffee Nursing Home Company Inc,281,1427000,335435,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,36,,Springville,Erie,WRO,Jennie B Richmond Chaffee Nursing Home Company Inc,"(42.5086, -78.6592)"
2017,The Pines at Catskill Center for Nursing & Rehabilitation,349,1921303,335256,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,55,,Catskill,Greene,CDRO,The Pines at Catskill Center for Nursing & Rehabilitation,"(42.2316, -73.8777)"
2017,"Absolut Center for Nursing and Rehabilitation at Orchard Park, LLC",284,1435303,335507,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,31,,Orchard Park,Erie,WRO,"Absolut Center for Nursing and Rehabilitation at Orchard Park, LLC","(42.7513, -78.7627)"
2017,Woodside Manor Nursing Home Inc,466,2750303,335366,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,47.5,,Rochester,Monroe,WRO,Woodside Manor Nursing Home Inc,"(43.1109, -77.5979)"
2017,Auburn Rehabilitation & Nursing Center,91,501310,335004,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,43,,Auburn,Cayuga,CNYRO,Auburn Rehabilitation & Nursing Center,"(42.9136, -76.5792)"
2017,St Catherine Laboure Health Care Center,252,1401324,335419,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,73,,Buffalo,Erie,WRO,St Catherine Laboure Health Care Center,"(42.9291, -78.85)"
2017,The Hurlbut,465,2750308,335341,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,55,,Rochester,Monroe,WRO,The Hurlbut,"(43.0974, -77.6133)"
2017,Livingston Hills Nursing and Rehabilitation Center,156,1063302,335389,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,34,,Livingston,Columbia,CDRO,Livingston Hills Nursing and Rehabilitation Center,"(42.1395, -73.7849)"
2017,Mercy Living Center,320,1620300,335220,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,68.4,,Tupper Lake,Franklin,CDRO,Mercy Living Center,"(44.217, -74.4628)"
2017,Monroe Community Hospital,440,2701006,335197,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,41,,Rochester,Monroe,WRO,Monroe Community Hospital,"(43.1123, -77.6162)"
2017,Elizabeth Church Manor Nursing Home,48,301307,335090,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,58,,Binghamton,Broome,CNYRO,Elizabeth Church Manor Nursing Home,"(42.1185, -75.9069)"
2017,Chemung County Health Center-Nursing Facility,123,701301,335480,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,49,,Elmira,Chemung,WRO,Chemung County Health Center-Nursing Facility,"(42.0934, -76.7966)"
2017,Cortland Park Rehabilitation and Nursing Center,160,1101310,335218,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,3,48,,Cortland,Cortland,CNYRO,Cortland Park Rehabilitation and Nursing Center,"(42.6116, -76.1649)"
2017,Renaissance Rehabilitation and Nursing Care Center,203,1356302,335404,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,35,,Staatsburg,Dutchess,MARO,Renaissance Rehabilitation and Nursing Care Center,"(41.8326, -73.9336)"
2017,Bethlehem Commons Care Center,27,151300,335735,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,32,,Delmar,Albany,CDRO,Bethlehem Commons Care Center,"(42.6259, -73.802)"
2017,New Roc Nursing and Rehabilitation Center,448,2701360,335439,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,30,,Rochester,Monroe,WRO,,"(43.1902, -77.5844)"
2017,The Grand Rehabilitation and Nursing at Barnwell,154,1023302,335565,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,30,,Valatie,Columbia,CDRO,The Grand Rehabilitation and Nursing at Barnwell,"(42.418, -73.6755)"
2017,ChaseHealth Rehab and Residential Care,126,823300,335344,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,58,,New Berlin,Chenango,CNYRO,ChaseHealth Rehab and Residential Care,"(42.6329, -75.3165)"
2017,Carthage Area Hospital,380,2238001,335453,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,5,,,,CNYRO,,"(43.9861, -75.5954)"
2017,Crown Park Rehabilitation and Nursing Center,161,1101312,335392,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,61,,Cortland,Cortland,CNYRO,Crown Park Rehabilitation and Nursing Center,"(42.5952, -76.1601)"
2017,Elderwood of Uihlein at Lake Placid,315,1560302,335267,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,42,,Lake Placid,Essex,CDRO,Elderwood of Uihlein at Lake Placid,"(44.266, -73.9833)"
2017,Ferncliff Nursing Home Co Inc,194,1327300,335405,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,4,42,,Rhinebeck,Dutchess,MARO,Ferncliff Nursing Home Co Inc,"(41.9418, -73.9353)"
2017,Chenango Memorial Hospital Inc SNF,129,824000,335355,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,1,64,,Norwich,Chenango,CNYRO,Chenango Memorial Hospital Inc SNF,"(42.5418, -75.5248)"
2017,"Bridgewater Center for Rehabilitation & Nursing, LLC",50,301308,335228,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,37,,Binghamton,Broome,CNYRO,"Bridgewater Center for Rehabilitation & Nursing, LLC","(42.101, -75.9169)"
2017,Heritage Park Rehab & Skilled Nursing,106,602310,335142,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,59,,Jamestown,Chautauqua,WRO,Heritage Park Rehab & Skilled Nursing,"(42.0903, -79.2383)"
2017,Fishkill Center for Rehabilitation and Nursing,201,1301302,335750,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,5,23.3,,Beacon,Dutchess,MARO,Fishkill Center for Rehabilitation and Nursing,"(41.5214, -73.9727)"
2017,Champlain Valley Physicians Hospital Medical Center SNF,136,901001,335442,FACILITY SCORE,Overall score,19,92,60,53,47,40,,,2,53.3,,Plattsburg,Clinton,CDRO,Champlain Valley Physicians Hospital Medical Center SNF,"(44.7003, -73.4668)"
