"Facility ID","Facility Name","Certification Number","Street Address","City","State","Zip","County","Area Office","Phone","Website","Census Date","Week Difference","Week Difference Category","Bed Type","Total Capacity","Available Capacity","Category","Latitude","Longitude"
"17","St. Peter's Nursing And Rehabilitation Center","0101305N","301 Hackett Blvd","Albany","NY","12208","Albany","Capital District Regional Office","518-525-7600","http://www.sphp.com/st-peters-nursing-rehabilitation-cc","05/20/2020","0","0","NHBEDSAV","160","40","5","42.653301","-73.805016"
"19","St. Margaret's Center","0101307N","27 Hackett Boulevard","Albany","NY","12208","Albany","Capital District Regional Office","518-591-3300","http://www.stmargaretscenter.org/htmlweb/homepage.html","05/20/2020","0","0","NHBEDSAV","92","3","2","42.645485","-73.778290"
"19","St. Margaret's Center","0101307N","27 Hackett Boulevard","Albany","NY","12208","Albany","Capital District Regional Office","518-591-3300","http://www.stmargaretscenter.org/htmlweb/homepage.html","05/20/2020","0","0","VENTBEDSAV","36","0","0","42.645485","-73.778290"
"19","St. Margaret's Center","0101307N","27 Hackett Boulevard","Albany","NY","12208","Albany","Capital District Regional Office","518-591-3300","http://www.stmargaretscenter.org/htmlweb/homepage.html","05/20/2020","0","0","PEDVENTCAP","36","36","5","42.645485","-73.778290"
"19","St. Margaret's Center","0101307N","27 Hackett Boulevard","Albany","NY","12208","Albany","Capital District Regional Office","518-591-3300","http://www.stmargaretscenter.org/htmlweb/homepage.html","05/20/2020","0","0","PEDBEDSAV","56","3","2","42.645485","-73.778290"
"21","Hudson Park Rehabilitation and Nursing Center","0101315N","325 Northern Boulevard","Albany","NY","12204","Albany","Capital District Regional Office","518-449-1100","http://www.hudsonparkrehab.com/","05/20/2020","0","0","NHBEDSAV","200","34","5","42.670933","-73.753693"
"22","Daughters of Sarah Nursing Center","0101312N","180 Washington Avenue Extension","Albany","NY","12203","Albany","Capital District Regional Office","518-456-7831","http://www.daughtersofsarah.org/nursingcenter/overview.html","05/20/2020","0","0","NHBEDSAV","210","25","5","42.699898","-73.851563"
"23","Teresian House Nursing Home Co Inc","0101313N","200 Washington Ave Ext","Albany","NY","12203","Albany","Capital District Regional Office","518-456-2000","http://www.teresianhouse.com/","05/20/2020","0","0","NHBEDSAV","300","82","5","42.702076","-73.854187"
"27","Bethlehem Commons Care Center","0151300N","125 Rockefeller Road","Delmar","NY","12054","Albany","Capital District Regional Office","518-621-1200","http://www.goodsamvillage.org/","05/13/2020","1","1","NHBEDSAV","120","39","5","42.625923","-73.802002"
"30","Shaker Place Rehabilitation and Nursing Center","0153302N","100 Heritage Lane","Albany","NY","12211","Albany","Capital District Regional Office","518-869-2231","http://www.albanycounty.com/Government/Departments/NursingHomeResidentialHealthCareFacilities.aspx","05/20/2020","0","0","NHBEDSAV","250","89","5","42.747261","-73.817245"
